STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,LOCAL_REVENUE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,TOTAL_SCORE
0,1992,736584.3333333334,2678885.0,304177.0,715680.0,461308.125,174053.0,8224.0,208.0,252.0,207.0,255.0,922.0
1,1992,130429.625,1049591.0,106780.0,222100.0,59821.916666666664,37451.0,2371.0,234.77777777777777,280.0,209.88888888888889,258.3333333333333,983.0
2,1992,874322.0833333334,3258079.0,297888.0,1590376.0,334409.875,609114.0,2544.0,215.0,265.0,209.0,258.6363636363636,947.6363636363636
3,1992,451901.9166666667,1711959.0,178571.0,574603.0,253719.08333333334,145212.0,808.0,210.0,256.0,211.0,258.8181818181818,935.8181818181818
4,1992,5945343.041666667,26260025.0,2072470.0,7641041.0,2907486.875,2044688.0,59067.0,208.0,261.0,202.0,255.0,926.0
5,1992,751567.75,3185173.0,163253.0,1713934.0,254038.16666666666,364760.0,7410.0,221.0,272.0,217.0,267.6,977.6
6,1992,523130.6666666667,3834302.0,143542.0,2348221.0,260146.875,48542.0,5731.0,227.0,274.0,222.0,270.1818181818182,993.1818181818182
7,1992,113638.33333333333,645233.0,45945.0,178346.0,65669.08333333333,30595.0,463.0,218.0,263.0,213.0,263.6363636363636,957.6363636363636
8,1992,61998.083333333336,709480.0,64749.0,644731.0,39110.875,47272.0,4818.0,193.0,235.0,188.0,242.8181818181818,858.8181818181818
9,1992,2486440.5833333335,11506299.0,788420.0,5033930.0,1351971.7083333333,1667826.0,31464.0,214.0,260.0,208.0,261.27272727272725,943.2727272727273
10,1992,1503696.3333333333,5536901.0,398701.0,2339526.0,685930.5,526644.0,3303.0,216.0,259.0,212.0,260.54545454545456,947.5454545454545
11,1992,183417.45833333334,996809.0,71273.0,22093.0,123826.25,126212.0,525.0,214.0,257.0,203.0,254.54545454545453,928.5454545454545
12,1992,255503.33333333334,859329.0,69138.0,258279.0,77436.95833333333,111353.0,1231.0,222.0,275.0,219.0,266.7,982.7
13,1992,2026002.7083333333,9748650.0,597077.0,6078395.0,757440.9583333334,727858.0,39682.0,235.4,278.90909090909093,218.66666666666666,265.55555555555554,998.5313131313131
14,1992,1000064.875,5060274.0,257044.0,2225081.0,417316.9166666667,536404.0,3225.0,221.0,270.0,221.0,265.9,977.9
15,1992,493742.125,2663934.0,125665.0,1362064.0,215311.125,222086.0,4592.0,230.0,283.0,225.0,266.55555555555554,1004.5555555555555
16,1992,472747.8333333333,2245348.0,121625.0,1220524.0,201006.33333333334,157705.0,2391.0,242.6,286.1,222.0,266.8181818181818,1017.5181818181818
17,1992,649013.0,2642902.0,289902.0,709891.0,329608.25,136694.0,14564.0,215.0,262.0,213.0,265.54545454545456,955.5454545454545
18,1992,716641.5833333334,3341253.0,367822.0,1124697.0,353578.7916666667,135305.0,11439.0,204.0,250.0,204.0,254.63636363636363,912.6363636363636
19,1992,198376.70833333334,1206819.0,73160.0,622005.0,94395.54166666667,97128.0,1273.0,232.0,279.0,227.0,268.90909090909093,1006.909090909091
20,1992,841958.0833333334,4658498.0,228336.0,2651328.0,368803.25,340298.0,16081.0,217.0,265.0,211.0,265.72727272727275,958.7272727272727
21,1992,931856.5833333334,5517659.0,273946.0,3804662.0,364713.5416666667,167247.0,10722.0,227.0,273.0,226.0,273.72727272727275,999.7272727272727
22,1992,1594490.875,9963137.0,537917.0,6885840.0,814946.0,825552.0,10541.0,220.0,267.0,216.0,263.5,966.5
23,1992,815725.5833333334,4684684.0,194092.0,2109838.0,674224.625,463724.0,6394.0,228.0,282.0,221.0,268.3,999.3
24,1992,488523.0833333333,1684706.0,277706.0,505801.0,221731.04166666666,131795.0,818.0,202.0,246.0,199.0,253.0909090909091,900.0909090909091
25,1992,895642.375,4043682.0,255194.0,1885364.0,441974.75,474552.0,18948.0,222.0,271.0,220.0,265.6363636363636,978.6363636363636
26,1992,150962.79166666666,828983.0,69947.0,421581.0,56576.625,64263.0,554.0,240.4,286.8181818181818,224.0,269.8181818181818,1021.0363636363636
27,1992,292097.8333333333,1542413.0,85423.0,964734.0,121443.29166666667,132183.0,3134.0,225.0,278.0,221.0,267.6,991.6
28,1992,365175.7083333333,1097076.0,45018.0,328026.0,108738.375,249189.0,1038.0,232.0,272.8,211.36363636363637,256.09090909090907,972.2545454545455
29,1992,193864.58333333334,1063391.0,31020.0,946075.0,61091.958333333336,63554.0,1005.0,230.0,278.0,228.0,271.77777777777777,1007.7777777777778
30,1992,1262229.75,10814689.0,416063.0,5893908.0,771909.0,474259.0,9123.0,227.0,272.0,223.0,271.8888888888889,993.8888888888889
31,1992,323048.8333333333,1330091.0,161520.0,177918.0,120459.5,139206.0,2072.0,213.0,260.0,211.0,253.9090909090909,937.9090909090909
32,1992,2748181.4583333335,21630179.0,1172030.0,11760486.0,1226113.5,1640971.0,31290.0,218.0,266.0,215.0,264.3636363636364,963.3636363636364
33,1992,1330547.75,5236099.0,389145.0,1563576.0,578378.75,774194.0,6119.0,213.0,258.0,212.0,261.90909090909093,944.909090909091
